Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,fixQuality,numSats,latitude,longitude,altitude,max_altitude,hours,minutes,seconds,PAD,PAD,Packet (hex)
175,OK,3300716124,43690,170,5,5,162,37619,78542212709,3289484538,3300716124,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,18,223,438518026,010000000b00000010c3034255d7d5c21c7cb13fc1cab13f0b3612df0a41231aaaaaaa0505a2f392650e7b4912000000fa8c11c4000000005ceebcc4cccccccc
181,OK,1930298093,43690,170,5,5,162,37619,78543212697,3290484526,1930298093,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,19,223,438518026,010000000b00000010c3034255d7d5c21c7cb13fc1cab13f0b3613df0a41231aaaaaaa0505a2f39299508a49120000002ecf20c400000000ed020e73cccccccc
187,OK,2507414595,43690,170,5,5,162,37619,78544214708,3291486536,2507414595,3435973836,1,10,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,20,223,438518026,010000000a00000010c3034255d7d5c21c7cb13fc1cab13f0b3614df0a41231aaaaaaa0505a2f392b49a994912000000481930c400000000431c7495cccccccc
193,OK,1652975811,43690,170,5,5,162,37619,78545163622,3292435451,1652975811,3435973836,1,9,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,21,223,438518026,010000000900000010c3034255d7d5c21c7cb13fc1cab13f0b3615df0a41231aaaaaaa0505a2f3926615a84912000000fb933ec400000000c3688662cccccccc
199,OK,1569222832,43690,170,5,5,162,37619,78546216706,3293488535,1569222832,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,22,223,438518026,010000000b00000010c3034255d7d5c21c7cb13fc1cab13f0b3616df0a41231aaaaaaa0505a2f3920227b8491200000097a54ec400000000b070885dcccccccc
205,OK,2755059439,43690,170,5,5,162,37619,78547165708,3294437536,2755059439,3435973836,1,10,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,23,223,438518026,010000000a00000010c3034255d7d5c21c7cb13fc1cab13f0b3617df0a41231aaaaaaa0505a2f3920ca2c64912000000a0205dc400000000efde36a4cccccccc
211,OK,4202192695,43690,170,5,5,162,37619,78548167736,3295439565,4202192695,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,24,223,438518026,010000000c00000010c3034255d7d5c21c7cb13fc1cab13f0b3618df0a41231aaaaaaa0505a2f39238ecd54912000000cd6a6cc400000000375f78facccccccc
217,OK,700943775,43690,170,5,5,162,37619,78549218303,3296490132,700943775,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,25,223,438518026,010000000b00000010c3034255d7d5c21c7cb13fc1cab13f0b3619df0a41231aaaaaaa0505a2f392fff3e5491200000094727cc4000000009f8dc729cccccccc
223,OK,1707434638,43690,170,5,5,162,37619,78550220305,3297492134,1707434638,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,26,223,438518026,010000000b00000010c3034255d7d5c21c7cb13fc1cab13f0b361adf0a41231aaaaaaa0505a2f392113ef54912000000a6bc8bc4000000008e62c565cccccccc
229,OK,565216215,43690,170,5,5,162,37619,78551169289,3298441118,565216215,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,27,223,438518026,010000000b00000010c3034255d7d5c21c7cb13fc1cab13f0b361bdf0a41231aaaaaaa0505a2f39209b9034a120000009e379ac400000000d783b021cccccccc
235,OK,854827762,43690,170,5,5,162,37619,78552171291,3299443120,854827762,3435973836,1,10,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,28,223,438518026,010000000a00000010c3034255d7d5c21c7cb13fc1cab13f0b361cdf0a41231aaaaaaa0505a2f3921b03134a12000000b081a9c400000000f2a2f332cccccccc
247,OK,2236664334,43690,170,3,5,162,37619,79182082151,3929353979,2236664334,3435973836,1,9,32.940494537353516,-106.9205551147461,1.386199951171875,1.3890000581741333,12,4,58,223,438518026,010000000900000011c3034253d7d5c2006fb13fc1cab13f0c043adf0a41231aaaaaaa0305a2f39267b09e6f12000000fb2e35ea000000000eca5085cccccccc
255,OK,390357816,43690,170,3,5,162,37619,79742163157,4489434985,390357816,3435973836,1,13,32.94047927856445,-106.92054748535156,1.3868000507354736,1.3890000581741333,12,14,18,223,438518026,010000000d0000000dc3034252d7d5c2aa82b13fc1cab13f0c0e12df0a41231aaaaaaa0305a2f392d5d80091120000006957970b0100000038634417cccccccc
263,OK,2873208958,43690,170,3,5,162,37619,80505233163,5252504991,2873208958,3435973836,1,11,32.94046401977539,-106.920654296875,1.3871999979019165,1.3890000581741333,12,27,1,223,438518026,010000000b00000009c3034260d7d5c2c58fb13fc1cab13f0c1b01df0a41231aaaaaaa0305a2f3920b5f7cbe120000009fdd1239010000007eb041abcccccccc
271,OK,1096966731,43690,170,3,5,162,37619,80828443436,5575715264,1096966731,3435973836,1,10,32.943458557128906,-106.9224624633789,1.381500005722046,1.3890000581741333,12,32,24,223,438518026,010000000a0000001ac603424dd8d5c2fed4b03fc1cab13f0c2018df0a41231aaaaaaa0305a2f3922c2bc0d112000000c0a9564c010000004b626241cccccccc
279,OK,1172626049,43690,170,3,5,162,37619,81555266295,6302538123,1172626049,3435973836,2,11,32.94375228881836,-106.9223861694336,1.3783999681472778,1.3890000581741333,12,44,31,223,438518026,020000000b00000067c6034243d8d5c2696fb03fc1cab13f0c2c1fdf0a41231aaaaaaa0305a2f392f79a12fd120000008b19a9770100000081dae445cccccccc
287,OK,4119747586,43690,170,3,5,162,37619,82934172182,7681444010,4119747586,3435973836,2,10,32.94374084472656,-106.92237854003906,1.378999948501587,1.3890000581741333,13,7,30,223,438518026,020000000a00000064c6034242d8d5c21283b03fc1cab13f0d071edf0a41231aaaaaaa0305a2f392160a434f13000000aa88d9c901000000025c8ef5cccccccc
296,OK,4202866968,43690,170,5,5,162,37619,83370136031,8117407860,4202866968,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,46,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e2edf0a41231aaaaaaa0505a2f392df513f691300000074d0d5e30100000018a982facccccccc
302,OK,796833143,43690,170,5,5,162,37619,83371132618,8118404447,796833143,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,47,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e2fdf0a41231aaaaaaa0505a2f392ca864e69130000005f05e5e30100000077b57e2fcccccccc
308,OK,3872330262,43690,170,5,5,162,37619,83372185624,8119457453,3872330262,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,48,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e30df0a41231aaaaaaa0505a2f39218985e6913000000ad16f5e3010000001612cfe6cccccccc
314,OK,2894287388,43690,170,5,5,162,37619,83373134625,8120406454,2894287388,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,49,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e31df0a41231aaaaaaa0505a2f39221136d6913000000b69103e4010000001c5283accccccccc
320,OK,3139880925,43690,170,5,5,162,37619,83374136246,8121408075,3139880925,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,50,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e32df0a41231aaaaaaa0505a2f392b65b7c69130000004bda12e401000000ddc726bbcccccccc
326,OK,3701301617,43690,170,5,5,162,37619,83375136268,8122408097,3701301617,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,51,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e33df0a41231aaaaaaa0505a2f3920c9e8b6913000000a11c22e40100000071619ddccccccccc
332,OK,410243771,43690,170,5,5,162,37619,83376138235,8123410064,410243771,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,52,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e34df0a41231aaaaaaa0505a2f392fbe79a6913000000906631e401000000bbd27318cccccccc
338,OK,491745070,43690,170,5,5,162,37619,83377138241,8124410070,491745070,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,53,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e35df0a41231aaaaaaa0505a2f392412aaa6913000000d6a840e4010000002e6f4f1dcccccccc
344,OK,3073037975,43690,170,5,5,162,37619,83378191638,8125463467,3073037975,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,54,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e36df0a41231aaaaaaa0505a2f392163dba6913000000abbb50e40100000097d62ab7cccccccc
350,OK,4006944701,43690,170,5,5,162,37619,83379191626,8126463455,4006944701,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,55,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e37df0a41231aaaaaaa0505a2f3924a7fc96913000000dffd5fe401000000bd1fd5eecccccccc
356,OK,742334861,43690,170,5,5,162,37619,83380142633,8127414462,742334861,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,56,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e38df0a41231aaaaaaa0505a2f3922902d86913000000be806ee4010000008d213f2ccccccccc
362,OK,649044241,43690,170,5,5,162,37619,83381142621,8128414450,649044241,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,57,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e39df0a41231aaaaaaa0505a2f3925d44e76913000000f2c27de40100000011a1af26cccccccc
368,OK,370337376,43690,170,5,5,162,37619,83382144606,8129416435,370337376,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,58,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e3adf0a41231aaaaaaa0505a2f3925e8ef66913000000f30c8de40100000060e61216cccccccc
374,OK,3434018835,43690,170,5,5,162,37619,83383144620,8130416449,3434018835,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,14,59,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0e3bdf0a41231aaaaaaa0505a2f392acd0056a13000000414f9ce40100000013f8aecccccccccc
380,OK,2449102475,43690,170,5,5,162,37619,83384146414,8131418242,2449102475,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,0,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0f00df0a41231aaaaaaa0505a2f392ee19156a130000008298abe4010000008b56fa91cccccccc
386,OK,2441186582,43690,170,5,5,162,37619,83385095537,8132367366,2441186582,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,1,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0f01df0a41231aaaaaaa0505a2f3927195236a130000000614bae401000000168d8191cccccccc
392,OK,1280432608,43690,170,5,5,162,37619,83386097139,8133368968,1280432608,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,2,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0f02df0a41231aaaaaaa0505a2f392f3dd326a13000000885cc9e401000000e0d9514ccccccccc
398,OK,3836218879,43690,170,5,5,162,37619,83387148132,8134419960,3836218879,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,3,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0f03df0a41231aaaaaaa0505a2f39264e7426a13000000f865d9e401000000ff0da8e4cccccccc
404,OK,3371186109,43690,170,5,5,162,37619,83388150532,8135422361,3371186109,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,4,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0f04df0a41231aaaaaaa0505a2f3920433526a1300000099b1e8e401000000bd37f0c8cccccccc
410,OK,1663425157,43690,170,5,5,162,37619,83389150555,8136422384,1663425157,3435973836,2,9,32.94373321533203,-106.92237854003906,1.381700038909912,1.3890000581741333,13,15,5,223,438518026,020000000900000062c6034242d8d5c28cdbb03fc1cab13f0d0f05df0a41231aaaaaaa0505a2f3925b75616a13000000f0f3f7e40100000085da2563cccccccc
