Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,altitude,pressure,temperature,PAD,Packet (hex)
253,OK,3126434415,43690,170,3,6,0,0,79742159952,4489431780,3126434415,3435973836,1366.3460693359375,85960,22.440000534057617,2147483647,13cbaa44c84f01001f85b341ffffff7faaaaaa030600000050cc009112000000e44a970b010000006f9a59bacccccccc
261,OK,1676694314,43690,170,3,6,0,0,80505229957,5252501785,1676694314,3435973836,1365.2996826171875,85969,22.1200008392334,2147483647,97a9aa44d14f0100c3f5b041ffffff7faaaaaa030600000085527cbe1200000019d11239010000002a53f063cccccccc
269,OK,3056567053,43690,170,3,6,0,0,80828440230,5575712058,3056567053,3435973836,1366.1558837890625,85955,21.3799991607666,2147483647,fdc4aa44c34f01003d0aab41ffffff7faaaaaa0306000000a61ec0d1120000003a9d564c010000000d832fb6cccccccc
277,OK,1565284686,43690,170,3,6,0,0,81555263089,6302534917,1565284686,3435973836,1368.1534423828125,85930,18.479999542236328,2147483647,e904ab44aa4f01000ad79341ffffff7faaaaaa0306000000718e12fd12000000050da977010000004e594c5dcccccccc
285,OK,1537534242,43690,170,3,6,0,0,82934168976,7681440804,1537534242,3435973836,1370.1510009765625,85916,17.709999084472656,2147483647,d544ab449c4f010014ae8d41ffffff7faaaaaa030600000090fd424f13000000247cd9c90100000022e9a45bcccccccc
293,OK,3026197380,43690,170,5,6,0,0,83369967311,8117239139,3026197380,3435973836,1371.29248046875,85902,17.3799991607666,2147483647,5c69ab448e4f01003d0a8b41ffffff7faaaaaa0506000000cfbe3c6913000000633dd3e301000000841b60b4cccccccc
299,OK,1766247814,43690,170,5,6,0,0,83370961832,8118233660,1766247814,3435973836,1371.007080078125,85901,17.389999389648438,2147483647,3a60ab448d4f0100b81e8b41ffffff7faaaaaa0506000000a8eb4b69130000003c6ae2e30100000086cd4669cccccccc
305,OK,781351424,43690,170,5,6,0,0,83371963863,8119235691,781351424,3435973836,1371.3875732421875,85900,17.399999618530273,2147483647,676cab448c4f010033338b41ffffff7faaaaaa0506000000d7355b69130000006bb4f1e301000000007a922ecccccccc
311,OK,3322168675,43690,170,5,6,0,0,83372963935,8120235763,3322168675,3435973836,1371.577880859375,85898,17.3799991607666,2147483647,7e72ab448a4f01003d0a8b41ffffff7faaaaaa05060000005f786a6913000000f3f600e401000000634504c6cccccccc
317,OK,3694573356,43690,170,5,6,0,0,83373964852,8121236680,3694573356,3435973836,1371.29248046875,85902,17.3799991607666,2147483647,5c69ab448e4f01003d0a8b41ffffff7faaaaaa050600000034be796913000000c83c10e4010000002cb736dccccccccc
323,OK,3052792893,43690,170,5,6,0,0,83374965918,8122237746,3052792893,3435973836,1371.3875732421875,85903,17.389999389648438,2147483647,676cab448f4f0100b81e8b41ffffff7faaaaaa05060000009e0489691300000032831fe4010000003decf5b5cccccccc
329,OK,1253138109,43690,170,5,6,0,0,83375968121,8123239949,1253138109,3435973836,1371.9583740234375,85902,17.389999389648438,2147483647,ab7eab448e4f0100b81e8b41ffffff7faaaaaa0506000000794f9869130000000dce2ee401000000bd5eb14acccccccc
335,OK,589089502,43690,170,5,6,0,0,83376968012,8124239840,589089502,3435973836,1371.1973876953125,85896,17.3700008392334,2147483647,5166ab44884f0100c3f58a41ffffff7faaaaaa05060000004c91a76913000000e00f3ee401000000deca1c23cccccccc
341,OK,2887957676,43690,170,5,6,0,0,83377968832,8125240660,2887957676,3435973836,1371.3875732421875,85904,17.3700008392334,2147483647,676cab44904f0100c3f58a41ffffff7faaaaaa0506000000c0d6b6691300000054554de401000000acbc22accccccccc
347,OK,3240159444,43690,170,5,6,0,0,83378969836,8126241664,3240159444,3435973836,1371.4827880859375,85899,17.3700008392334,2147483647,736fab448b4f0100c3f58a41ffffff7faaaaaa0506000000ec1cc66913000000809b5ce401000000d4e820c1cccccccc
353,OK,2380174579,43690,170,5,6,0,0,83379971946,8127243774,2380174579,3435973836,1371.3875732421875,85900,17.389999389648438,2147483647,676cab448c4f0100b81e8b41ffffff7faaaaaa05060000006a67d56913000000fee56be401000000f394de8dcccccccc
359,OK,3419429554,43690,170,5,6,0,0,83380972061,8128243889,3419429554,3435973836,1371.3875732421875,85902,17.399999618530273,2147483647,676cab448e4f010033338b41ffffff7faaaaaa05060000001daae46913000000b1287be401000000b25ad0cbcccccccc
365,OK,3277366680,43690,170,5,6,0,0,83381972927,8129244755,3277366680,3435973836,1371.577880859375,85898,17.40999984741211,2147483647,7e72ab448a4f0100ae478b41ffffff7faaaaaa0506000000bfeff36913000000536e8ae40100000098a558c3cccccccc
371,OK,1633379495,43690,170,5,6,0,0,83382973852,8130245680,1633379495,3435973836,1371.29248046875,85903,17.420000076293945,2147483647,5c69ab448f4f0100295c8b41ffffff7faaaaaa05060000009c35036a1300000030b499e401000000a7645b61cccccccc
