Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,ax,ay,az,PAD,Packet (hex)
292,OK,1636297096,43690,170,5,3,127,4096,83369966219,8117238047,1636297096,3435973836,4,0,18,4096,0400000012000010aaaaaa05037f00108bba3c69130000001f39d3e30100000088e98761cccccccc
298,OK,3337498047,43690,170,5,3,127,4096,83370960740,8118232568,3337498047,3435973836,4,0,12,4096,040000000c000010aaaaaa05037f001064e74b6913000000f865e2e301000000bf2deec6cccccccc
304,OK,3378922910,43690,170,5,3,127,4096,83371962772,8119234600,3378922910,3435973836,0,0,14,4096,000000000e000010aaaaaa05037f001094315b691300000028b0f1e3010000009e4566c9cccccccc
310,OK,2280439696,43690,170,5,3,127,4096,83372962843,8120234672,2280439696,3435973836,0,0,18,4096,0000000012000010aaaaaa05037f00101b746a6913000000b0f200e40100000090bfec87cccccccc
316,OK,2954267642,43690,170,5,3,127,4096,83373963760,8121235588,2954267642,3435973836,0,0,18,4096,0000000012000010aaaaaa05037f0010f0b9796913000000843810e401000000fa8b16b0cccccccc
322,OK,3868968780,43690,170,5,3,127,4096,83374964826,8122236654,3868968780,3435973836,8,0,18,4096,0800000012000010aaaaaa05037f00105a00896913000000ee7e1fe4010000004cc79be6cccccccc
328,OK,2198958231,43690,170,5,3,127,4096,83375967030,8123238859,2198958231,3435973836,-4,4,14,4096,fcff04000e000010aaaaaa05037f0010364b986913000000cbc92ee40100000097701183cccccccc
334,OK,639293974,43690,170,5,3,127,4096,83376966920,8124238748,639293974,3435973836,-2,4,18,4096,feff040012000010aaaaaa05037f0010088da769130000009c0b3ee40100000016da1a26cccccccc
340,OK,1185501738,43690,170,5,3,127,4096,83377967740,8125239568,1185501738,3435973836,0,0,18,4096,0000000012000010aaaaaa05037f00107cd2b6691300000010514de4010000002a52a946cccccccc
346,OK,2629653111,43690,170,5,3,127,4096,83378968744,8126240572,2629653111,3435973836,6,0,12,4096,060000000c000010aaaaaa05037f0010a818c669130000003c975ce4010000007752bd9ccccccccc
352,OK,1352979693,43690,170,5,3,127,4096,83379970855,8127242683,1352979693,3435973836,6,0,18,4096,0600000012000010aaaaaa05037f00102763d56913000000bbe16be401000000edd4a450cccccccc
358,OK,97369182,43690,170,5,3,127,4096,83380970969,8128242797,97369182,3435973836,4,0,16,4096,0400000010000010aaaaaa05037f0010d9a5e469130000006d247be4010000005ebccd05cccccccc
364,OK,4052510361,43690,170,5,3,127,4096,83381971835,8129243663,4052510361,3435973836,2,0,24,4096,0200000018000010aaaaaa05037f00107bebf369130000000f6a8ae40100000099668cf1cccccccc
370,OK,2045400001,43690,170,5,3,127,4096,83382972760,8130244588,2045400001,3435973836,-4,2,14,4096,fcff02000e000010aaaaaa05037f00105831036a13000000ecaf99e401000000c153ea79cccccccc
376,OK,1801017777,43690,170,5,3,127,4096,83383974767,8131246595,1801017777,3435973836,6,0,18,4096,0600000012000010aaaaaa05037f00106f7b126a1300000003faa8e401000000b159596bcccccccc
382,OK,3925271374,43690,170,5,3,127,4096,83384974828,8132246657,3925271374,3435973836,4,0,16,4096,0400000010000010aaaaaa05037f0010ecbd216a13000000813cb8e4010000004ee3f6e9cccccccc
388,OK,2378063900,43690,170,5,3,127,4096,83385975832,8133247660,2378063900,3435973836,2,0,16,4096,0200000010000010aaaaaa05037f00101804316a13000000ac82c7e4010000001c60be8dcccccccc
394,OK,818361539,43690,170,5,3,127,4096,83386976879,8134248707,818361539,3435973836,4,2,18,4096,0400020012000010aaaaaa05037f00106f4a406a1300000003c9d6e401000000c334c730cccccccc
400,OK,3121652133,43690,170,5,3,127,4096,83387978947,8135250775,3121652133,3435973836,2,-4,14,4096,0200fcff0e000010aaaaaa05037f0010c3944f6a130000005713e6e401000000a5a110bacccccccc
406,OK,1760475259,43690,170,5,3,127,4096,83388979018,8136250846,1760475259,3435973836,-2,-4,18,4096,fefffcff12000010aaaaaa05037f00104ad75e6a13000000de55f5e4010000007bb8ee68cccccccc
