Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,quatX,quatY,quatZ,quatW,ax,ay,az,magX,magY,magZ,calib,stability,PAD,PAD,PAD,
55565,OK,10054046,43690,170,6,4,0,0,66978893059,13850109723,10054046,3435973836,-0.052734375,-0.038879395,0.672912598,0.736816406,-0.125,-1.2890625,9.93359375,30.6875,7.9375,-36.6875,b'\x00',b'\x00',0,0,0,
55571,OK,1612847258,43690,170,6,4,0,0,66978945089,13850161753,1612847258,3435973836,-0.05279541,-0.038879395,0.672912598,0.736816406,-0.15625,-1.30078125,9.9453125,32,7.4375,-35.125,b'\x00',b'\x00',0,0,0,
55578,OK,2189978599,43690,170,6,4,0,0,66978998051,13850214715,2189978599,3435973836,-0.05279541,-0.038879395,0.672912598,0.736816406,-0.13671875,-1.30859375,9.9453125,32.0625,7.9375,-36.75,b'\x00',b'\x00',0,0,0,
55585,OK,1316573456,43690,170,6,4,0,0,66979050071,13850266735,1316573456,3435973836,-0.05279541,-0.038818359,0.672851563,0.736877441,-0.15625,-1.30859375,9.93359375,29.9375,7.125,-37.25,b'\x00',b'\x00',0,0,0,
55591,OK,3050914803,43690,170,6,4,0,0,66979103103,13850319767,3050914803,3435973836,-0.052734375,-0.038879395,0.672912598,0.736816406,-0.10546875,-1.2890625,9.9609375,31,8.25,-33.9375,b'\x00',b'\x00',0,0,0,
55597,OK,2971214278,43690,170,6,4,0,0,66979157031,13850373696,2971214278,3435973836,-0.052734375,-0.038818359,0.672912598,0.736816406,-0.15625,-1.3203125,9.98046875,32.0625,7.6875,-37.375,b'\x00',b'\x00',0,0,0,
55603,OK,1552143393,43690,170,6,4,0,0,66979209091,13850425755,1552143393,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.1171875,-1.328125,9.9453125,31.3125,7.9375,-34.5625,b'\x00',b'\x00',0,0,0,
55610,OK,3534754435,43690,170,6,4,0,0,66979261112,13850477777,3534754435,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.14453125,-1.28125,9.96484375,32.0625,8.25,-36.1875,b'\x00',b'\x00',0,0,0,
55616,OK,459466714,43690,170,6,4,0,0,66979313063,13850529727,459466714,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.125,-1.30078125,9.9609375,31.3125,8.75,-36.75,b'\x00',b'\x00',0,0,0,
55623,OK,1302497852,43690,170,6,4,0,0,66979367202,13850583866,1302497852,3435973836,-0.052734375,-0.038818359,0.672912598,0.736816406,-0.15625,-1.33984375,9.9453125,30.3125,7.6875,-36.6875,b'\x00',b'\x00',0,0,0,
55628,OK,4144625376,43690,170,6,4,0,0,66979435848,13850652512,4144625376,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.125,-1.30078125,9.98046875,32.0625,7.125,-37.375,b'\x00',b'\x00',0,0,0,
55638,OK,2432989422,43690,170,6,4,0,0,66979489789,13850706453,2432989422,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.14453125,-1.30859375,9.953125,31.3125,6.625,-34,b'\x00',b'\x00',0,0,0,
55643,OK,1158915347,43690,170,6,4,0,0,66979541046,13850757710,1158915347,3435973836,-0.052612305,-0.038818359,0.672912598,0.736816406,-0.125,-1.3203125,9.93359375,31,8.25,-36.1875,b'\x00',b'\x00',0,0,0,
55648,OK,2805946847,43690,170,6,4,0,0,66979593101,13850809765,2805946847,3435973836,-0.052612305,-0.038818359,0.672973633,0.736816406,-0.125,-1.30859375,9.953125,30.9375,7.9375,-33.375,b'\x00',b'\x00',0,0,0,
55655,OK,2717461676,43690,170,6,4,0,0,66979645050,13850861714,2717461676,3435973836,-0.052612305,-0.038818359,0.672973633,0.736816406,-0.13671875,-1.30859375,9.9453125,31,7.6875,-33.9375,b'\x00',b'\x00',0,0,0,
55663,OK,4139997062,43690,170,6,4,0,0,66979698067,13850914731,4139997062,3435973836,-0.052612305,-0.038879395,0.672973633,0.736816406,-0.14453125,-1.30078125,9.93359375,31.25,8.25,-33.9375,b'\x00',b'\x00',0,0,0,
55668,OK,2660812830,43690,170,6,4,0,0,66979750095,13850966759,2660812830,3435973836,-0.05255127,-0.038879395,0.672973633,0.736816406,-0.125,-1.2890625,9.9453125,31.6875,8.25,-36.1875,b'\x00',b'\x00',0,0,0,
55673,OK,1944885539,43690,170,6,4,0,0,66979803098,13851019762,1944885539,3435973836,-0.05255127,-0.03894043,0.672973633,0.736755371,-0.125,-1.30859375,9.93359375,32.4375,7.4375,-37.375,b'\x00',b'\x00',0,0,0,
55682,OK,2359025355,43690,170,6,4,0,0,66979859226,13851075890,2359025355,3435973836,-0.05255127,-0.03894043,0.672912598,0.736816406,-0.14453125,-1.328125,9.9453125,33.125,8.25,-35.6875,b'\x00',b'\x00',0,0,0,
55688,OK,420637668,43690,170,6,4,0,0,66979912013,13851128677,420637668,3435973836,-0.05255127,-0.03894043,0.672912598,0.736816406,-0.14453125,-1.30078125,9.9453125,32.4375,8.25,-36.1875,b'\x00',b'\x00',0,0,0,
55694,OK,2056647415,43690,170,6,4,0,0,66979964071,13851180735,2056647415,3435973836,-0.05255127,-0.03894043,0.672912598,0.736816406,-0.14453125,-1.30078125,9.98046875,30.625,8.25,-35.0625,b'\x00',b'\x00',0,0,0,
55699,OK,2833061112,43690,170,6,4,0,0,66980016047,13851232711,2833061112,3435973836,-0.052490234,-0.038879395,0.672973633,0.736816406,-0.13671875,-1.30859375,9.9453125,32.4375,8.25,-38.4375,b'\x00',b'\x00',0,0,0,
55708,OK,3047265959,43690,170,6,4,0,0,66980068201,13851284865,3047265959,3435973836,-0.05255127,-0.038879395,0.672973633,0.736816406,-0.14453125,-1.3203125,9.97265625,31.375,7.4375,-36.75,b'\x00',b'\x00',0,0,0,
55714,OK,102398283,43690,170,6,4,0,0,66980120092,13851336757,102398283,3435973836,-0.052490234,-0.038879395,0.672973633,0.736755371,-0.125,-1.2890625,9.9609375,31.625,7.9375,-32.9375,b'\x00',b'\x00',0,0,0,
55719,OK,994916397,43690,170,6,4,0,0,66980173061,13851389725,994916397,3435973836,-0.052612305,-0.038818359,0.672912598,0.736816406,-0.15625,-1.30078125,9.9453125,31.6875,8.25,-36.1875,b'\x00',b'\x00',0,0,0,
55725,OK,791239667,43690,170,6,4,0,0,66980227596,13851444260,791239667,3435973836,-0.052612305,-0.038879395,0.672973633,0.736816406,-0.13671875,-1.30859375,9.9921875,32.4375,8.25,-36.8125,b'\x00',b'\x00',0,0,0,
55733,OK,4214615769,43690,170,6,4,0,0,66980279074,13851495738,4214615769,3435973836,-0.052612305,-0.038879395,0.672973633,0.736755371,-0.13671875,-1.2890625,9.953125,32,7.9375,-34.5625,b'\x00',b'\x00',0,0,0,
55739,OK,985419688,43690,170,6,4,0,0,66980332084,13851548749,985419688,3435973836,-0.052612305,-0.038818359,0.672973633,0.736816406,-0.13671875,-1.30859375,9.92578125,30.625,8.25,-34.5,b'\x00',b'\x00',0,0,0,
55744,OK,1954716871,43690,170,6,4,0,0,66980384014,13851600678,1954716871,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.14453125,-1.3203125,9.9609375,32.375,8.25,-35.125,b'\x00',b'\x00',0,0,0,
55751,OK,394295854,43690,170,6,4,0,0,66980439222,13851655886,394295854,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.3203125,9.953125,31,7.6875,-34.5,b'\x00',b'\x00',0,0,0,
55759,OK,4111623463,43690,170,6,4,0,0,66980493522,13851710186,4111623463,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.14453125,-1.3203125,9.93359375,31,7.6875,-34.5,b'\x00',b'\x00',0,0,0,
55764,OK,2902867499,43690,170,6,4,0,0,66980545234,13851761898,2902867499,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.15625,-1.30078125,9.953125,31,7.6875,-35.125,b'\x00',b'\x00',0,0,0,
55769,OK,1313825737,43690,170,6,4,0,0,66980597104,13851813768,1313825737,3435973836,-0.05267334,-0.038879395,0.672912598,0.736816406,-0.14453125,-1.30859375,9.92578125,31.375,7.9375,-34.5625,b'\x00',b'\x00',0,0,0,
55776,OK,1570323945,43690,170,6,4,0,0,66980653208,13851869872,1570323945,3435973836,-0.052734375,-0.038879395,0.672912598,0.736816406,-0.14453125,-1.30078125,9.92578125,31.625,7.125,-35.125,b'\x00',b'\x00',0,0,0,
55784,OK,3578028451,43690,170,6,4,0,0,66980705072,13851921736,3578028451,3435973836,-0.052734375,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.30859375,9.9609375,32.4375,7.9375,-37.375,b'\x00',b'\x00',0,0,0,
55789,OK,1398814548,43690,170,6,4,0,0,66980757095,13851973759,1398814548,3435973836,-0.052734375,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.2890625,9.92578125,31.6875,7.4375,-36.1875,b'\x00',b'\x00',0,0,0,
55794,OK,478309257,43690,170,6,4,0,0,66980809036,13852025700,478309257,3435973836,-0.05279541,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.30859375,9.93359375,32.375,8.25,-34,b'\x00',b'\x00',0,0,0,
55801,OK,1049342009,43690,170,6,4,0,0,66980863156,13852079820,1049342009,3435973836,-0.05279541,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.30859375,9.97265625,32.0625,8.25,-36.1875,b'\x00',b'\x00',0,0,0,
55809,OK,3571356778,43690,170,6,4,0,0,66980916046,13852132710,3571356778,3435973836,-0.05279541,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.2890625,9.9609375,31.625,7.9375,-33.4375,b'\x00',b'\x00',0,0,0,
55815,OK,4071355343,43690,170,6,4,0,0,66980968052,13852184716,4071355343,3435973836,-0.05279541,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.2890625,9.97265625,31,7.6875,-35.5625,b'\x00',b'\x00',0,0,0,
55822,OK,674801344,43690,170,6,4,0,0,66981024592,13852241256,674801344,3435973836,-0.05279541,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.3203125,9.97265625,31.6875,8.75,-37.3125,b'\x00',b'\x00',0,0,0,
55829,OK,1759423261,43690,170,6,4,0,0,66981076112,13852292776,1759423261,3435973836,-0.05279541,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.2890625,9.953125,32.75,8,-36.25,b'\x00',b'\x00',0,0,0,
55835,OK,1969843499,43690,170,6,4,0,0,66981129030,13852345694,1969843499,3435973836,-0.052734375,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.30859375,9.98046875,31.6875,7.9375,-35.125,b'\x00',b'\x00',0,0,0,
55840,OK,4179669079,43690,170,6,4,0,0,66981181051,13852397715,4179669079,3435973836,-0.052734375,-0.038818359,0.672912598,0.736816406,-0.13671875,-1.2890625,9.9609375,32,7.6875,-34.5625,b'\x00',b'\x00',0,0,0,
55847,OK,2565596459,43690,170,6,4,0,0,66981233010,13852449674,2565596459,3435973836,-0.05267334,-0.038818359,0.672912598,0.736816406,-0.14453125,-1.3203125,9.93359375,30.625,8.25,-35.0625,b'\x00',b'\x00',0,0,0,
55854,OK,3481513886,43690,170,6,4,0,0,66981286403,13852503067,3481513886,3435973836,-0.052734375,-0.038818359,0.672973633,0.736816406,-0.125,-1.30078125,9.9453125,31,7.4375,-33.9375,b'\x00',b'\x00',0,0,0,
55860,OK,2194862938,43690,170,6,4,0,0,66981338085,13852554749,2194862938,3435973836,-0.05267334,-0.038818359,0.672973633,0.736816406,-0.125,-1.30078125,9.953125,32.0625,7.6875,-37.8125,b'\x00',b'\x00',0,0,0,
55865,OK,2130820893,43690,170,6,4,0,0,66981390097,13852606761,2130820893,3435973836,-0.05267334,-0.038818359,0.672973633,0.736816406,-0.14453125,-1.30859375,9.9453125,30.6875,7.6875,-37.1875,b'\x00',b'\x00',0,0,0,
