Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,
73720,OK,1637338014,43690,170,9,5,0,0,67031797355,40190653,1637338014,3435973836,35.3583932,-117.821316,12770827,14496,-11726,-62732,414,2021,4,10,18,5,4,27,3,0,0,0,
74089,OK,287467064,43690,170,9,5,0,0,67032832013,41225311,287467064,3435973836,35.3585245,-117.8214438,12828823,14950,-11427,-52608,408,2021,4,10,18,5,5,27,3,0,0,0,
74454,OK,2438857754,43690,170,9,5,0,0,67033864571,42257869,2438857754,3435973836,35.3586555,-117.8215692,12876786,14401,-11271,-42808,405,2021,4,10,18,5,6,26,3,0,0,0,
74818,OK,96551639,43690,170,9,5,0,0,67034895412,43288710,96551639,3435973836,35.3587862,-117.821694,12915028,14720,-11099,-32757,399,2021,4,10,18,5,7,27,3,0,0,0,
75183,OK,423989066,43690,170,9,5,0,0,67035921345,44314643,423989066,3435973836,35.3589164,-117.8218151,12943242,14337,-10890,-23333,398,2021,4,10,18,5,8,25,3,0,0,0,
75648,OK,2374693880,43690,170,11,5,0,0,67036954974,45348271,2374693880,3435973836,35.3590582,-117.8219649,12962011,17413,-16727,-14547,404,2021,4,10,18,5,9,22,3,0,0,0,
75994,OK,3424649080,43690,170,12,5,0,0,67037983254,46376552,3424649080,3435973836,35.3591956,-117.822073,12970209,13882,-3071,-2904,424,2021,4,10,18,5,10,16,3,0,0,0,
76321,OK,1523757863,43690,170,12,5,0,0,67039012343,47405640,1523757863,3435973836,35.3593049,-117.8220561,12967417,10941,5530,7748,451,2021,4,10,18,5,11,20,3,0,0,0,
76649,OK,1196799368,43690,170,12,5,0,0,67040038626,48431923,1196799368,3435973836,35.359398,-117.8220045,12955393,10667,3656,16145,469,2021,4,10,18,5,12,24,3,0,0,0,
76974,OK,172085045,43690,170,12,5,0,0,67041063401,49456698,172085045,3435973836,35.3594855,-117.8219354,12936963,9485,9381,23268,494,2021,4,10,18,5,13,21,3,0,0,0,
77302,OK,168099620,43690,170,12,5,0,0,67042092783,50486081,168099620,3435973836,35.3595596,-117.8218029,12912876,7819,15314,26509,510,2021,4,10,18,5,14,24,3,0,0,0,
77630,OK,3594805159,43690,170,12,5,0,0,67043117267,51510564,3594805159,3435973836,35.3596199,-117.8216136,12881648,5740,19320,35193,498,2021,4,10,18,5,15,24,3,0,0,0,
77956,OK,3432583243,43690,170,12,5,0,0,67044145497,52538794,3432583243,3435973836,35.3596648,-117.8213685,12844090,4467,25414,39370,503,2021,4,10,18,5,16,27,3,0,0,0,
78280,OK,4275179276,43690,170,12,5,0,0,67045176499,53569796,4275179276,3435973836,35.3596991,-117.8210699,12804183,3476,29629,41263,514,2021,4,10,18,5,17,27,3,0,0,0,
78443,OK,3786034655,43690,170,12,5,0,0,67045686408,54079705,3786034655,3435973836,35.3597322,-117.8207361,12758496,4163,31274,48731,526,2021,4,10,18,5,18,26,3,0,0,0,
78770,OK,4219665791,43690,170,12,5,0,0,67046717575,55110872,4219665791,3435973836,35.3597582,-117.8203828,12708777,2092,33131,49627,541,2021,4,10,18,5,19,27,3,0,0,0,
79094,OK,3900080988,43690,170,12,5,0,0,67047741929,56135226,3900080988,3435973836,35.3597682,-117.820009,12657937,459,34784,50398,557,2021,4,10,18,5,20,26,3,0,0,0,
79418,OK,3568390817,43690,170,12,5,0,0,67048767917,57161214,3568390817,3435973836,35.3597697,-117.8196238,12607116,30,35343,50696,574,2021,4,10,18,5,21,25,3,0,0,0,
79737,OK,35713032,43690,170,12,5,0,0,67049796445,58189742,35713032,3435973836,35.3597683,-117.8192311,12554652,-179,36083,53648,589,2021,4,10,18,5,22,23,3,0,0,0,
80059,OK,1756262843,43690,170,12,5,0,0,67050824617,59217914,1756262843,3435973836,35.3597564,-117.8188327,12500853,-2229,36576,53719,612,2021,4,10,18,5,23,22,3,0,0,0,
80383,OK,586640635,43690,170,12,5,0,0,67051851344,60244641,586640635,3435973836,35.3597238,-117.8184239,12447613,-4763,38140,54049,614,2021,4,10,18,5,24,23,3,0,0,0,
80710,OK,3917977837,43690,170,12,5,0,0,67052888632,61281929,3917977837,3435973836,35.3596706,-117.8179933,12392702,-6589,40304,55133,612,2021,4,10,18,5,25,27,3,0,0,0,
81038,OK,441584328,43690,170,12,5,0,0,67053918741,62312038,441584328,3435973836,35.3595958,-117.8175371,12338661,-9950,42907,54112,617,2021,4,10,18,5,26,27,3,0,0,0,
81361,OK,1018885978,43690,170,12,5,0,0,67054941964,63335261,1018885978,3435973836,35.3595091,-117.817057,12284594,-8866,44344,53930,618,2021,4,10,18,5,27,26,3,0,0,0,
81684,OK,94273920,43690,170,12,5,0,0,67055970746,64364043,94273920,3435973836,35.3594251,-117.8165513,12230377,-9885,47527,54700,618,2021,4,10,18,5,28,28,3,0,0,0,
82008,OK,2400269315,43690,170,12,5,0,0,67056995089,65388386,2400269315,3435973836,35.3593423,-117.8160104,12175959,-8586,50945,54529,629,2021,4,10,18,5,29,28,3,0,0,0,
82333,OK,3215545254,43690,170,12,5,0,0,67058025044,66418342,3215545254,3435973836,35.3592795,-117.815444,12121625,-5266,52088,52793,644,2021,4,10,18,5,30,26,3,0,0,0,
82657,OK,3749912109,43690,170,12,5,0,0,67059051752,67445049,3749912109,3435973836,35.359256,-117.8148662,12068065,-63,52805,53227,656,2021,4,10,18,5,31,25,3,0,0,0,
82984,OK,3660933445,43690,170,12,5,0,0,67060084554,68477851,3660933445,3435973836,35.3592495,-117.8142899,12012350,-1239,51795,57238,653,2021,4,10,18,5,32,28,3,0,0,0,
