pwr_ctr,az
3.9797,279.35
3.9811,279.36
3.9827,279.37
3.9847,279.38
3.9862,279.41
3.9878,279.42
3.9897,279.43
3.9916,279.45
3.9935,279.47
3.9954,279.48
3.9971,279.5
3.9988,279.52
4.0009,279.53
4.0026,279.54
4.0044,279.56
4.0059,279.57
4.0071,279.59
4.0089,279.6
4.0108,279.62
4.0125,279.63
4.0142,279.64
4.0155,279.66
4.0168,279.68
4.0205,279.69
4.023,279.74
4.0249,279.75
4.0268,279.79
4.0313,279.81
4.0342,279.82
4.0364,279.85
4.0382,279.85
4.0398,279.86
4.0412,279.88
4.0426,279.9
4.044,279.91
4.0455,279.92
4.0469,279.93
4.0483,279.94
4.0497,279.95
4.0515,279.97
4.0533,279.98
4.0546,279.99
4.0559,280
4.0572,280.02
4.059,280.03
4.0604,280.04
4.0618,280.05
4.0631,280.06
4.0643,280.07
4.0655,280.08
4.0668,280.09
4.068,280.1
4.0693,280.11
4.0705,280.12
4.0717,280.13
4.073,280.14
4.0742,280.15
4.0755,280.16
4.0768,280.17
4.0784,280.18
4.0801,280.2
4.0815,280.21
4.0828,280.22
4.0842,280.23
4.0854,280.24
4.0867,280.25
4.088,280.26
4.0892,280.28
4.0909,280.29
4.0924,280.3
4.0938,280.3
4.0953,280.32
4.0967,280.34
4.0986,280.36
4.1001,280.35
4.1015,280.37
4.1026,280.38
4.1037,280.39
4.1052,280.4
4.1068,280.41
4.1088,280.44
4.1109,280.45
4.1125,280.45
4.1138,280.47
4.1151,280.48
4.1165,280.48
4.1177,280.5
4.1205,280.54
4.1226,280.53
4.1244,280.54
4.1263,280.55
4.1275,280.57
4.1287,280.58
4.13,280.59
4.1313,280.59
4.1327,280.61
4.1342,280.62
4.1356,280.64
4.1373,280.65
4.139,280.65
4.1407,280.68
4.1424,280.67
4.144,280.68
4.1457,280.71
4.1471,280.73
4.1489,280.73
4.1503,280.73
4.1518,280.74
4.1531,280.75
4.1543,280.77
4.1552,280.78
4.1566,280.79
4.1581,280.81
4.16,280.82
4.1621,280.83
4.1636,280.84
4.1649,280.84
4.1662,280.86
4.1675,280.87
4.1691,280.88
4.1705,280.89
4.172,280.9
4.1733,280.91
4.1748,280.92
4.1763,280.94
4.1787,280.95
4.1804,280.96
4.1818,280.97
4.183,280.98
4.1842,280.99
4.1858,281
4.1873,281.02
4.1888,281.03
4.1901,281.02
4.1914,281.03
4.1926,281.04
4.1939,281.06
4.1958,281.07
4.1976,281.08
4.1995,281.09
4.2011,281.1
4.2025,281.11
4.2039,281.12
4.2054,281.13
4.2068,281.15
4.2082,281.16
4.2097,281.17
4.211,281.17
4.2122,281.17
4.2135,281.19
4.2149,281.2
4.2163,281.19
4.2178,281.21
4.2222,281.24
4.2266,281.23
4.2289,281.24
4.2305,281.28
4.232,281.3
4.2343,281.31
4.2369,281.33
4.2396,281.34
4.241,281.33
4.2423,281.34
4.2435,281.35
4.2448,281.36
4.246,281.37
4.2473,281.38
4.2485,281.39
4.2498,281.4
4.2514,281.41
4.2535,281.42
4.2558,281.45
4.2571,281.46
4.2582,281.45
4.2594,281.46
4.2621,281.47
4.2635,281.49
4.265,281.49
4.266,281.5
4.2674,281.51
4.2692,281.52
4.2705,281.53
4.2722,281.55
4.2741,281.56
4.2754,281.55
4.2768,281.56
4.2782,281.6
4.2797,281.58
4.2812,281.59
4.2831,281.59
4.2842,281.61
4.2853,281.63
4.2873,281.64
4.2892,281.65
4.2908,281.64
4.2925,281.65
4.2938,281.66
4.2951,281.67
4.2964,281.68
4.2978,281.69
4.2992,281.7
4.301,281.71
4.3023,281.71
4.3031,281.72
4.3045,281.74
4.306,281.74
4.3073,281.73
4.3085,281.75
4.3095,281.76
4.3107,281.76
4.3115,281.77
4.3129,281.78
4.3143,281.79
4.316,281.8
4.3175,281.8
4.3187,281.81
4.3199,281.82
4.3212,281.83
4.3226,281.82
4.3237,281.84
4.3248,281.84
4.3258,281.85
4.327,281.85
4.3281,281.86
4.3293,281.87
4.3304,281.87
4.3316,281.88
4.3327,281.88
4.334,281.89
4.3353,281.9
4.3366,281.91
4.3384,281.91
4.3399,281.92
4.341,281.93
4.3421,281.94
4.3433,281.94
4.3448,281.95
4.3462,281.96
4.3474,281.96
