Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,Packet (hex)
132802,OK,821525390,43690,170,9,5,0,0,36297333980,13262289,821525390,3435973836,35.3495701,-117.8063188,2741463,-19138,57689,-472870,229,2022,4,23,16,24,13,0,0,0,0,0,699489b6beac414099092bba9a735dc0d7d429003eb5ffff59e10000dac8f8ffe5000000e607041710180d0000000000aaaaaa0905000000dc5c7d7308000000d15dca00000000008e7bf730cccccccc
133130,OK,2786395692,43690,170,9,5,0,0,36298363794,14292103,2786395692,3435973836,35.3485237,-117.802589,5383675,-23731,70814,-509388,310,2022,4,23,16,24,14,17,3,0,0,0,c2b0b26c9cac414047c8409e5d735dc0fb2552004da3ffff9e140100343af8ff36010000e607041710180e1103000000aaaaaa090500000092138d73080000008714da00000000002c0615a6cccccccc
134131,OK,192712691,43690,170,9,5,0,0,36301492070,17420379,192712691,3435973836,35.3479281,-117.8003744,6806859,-20391,64070,-440792,343,2022,4,23,16,24,17,26,3,0,0,0,016e71e888ac41408f238c5539735dc04bdd670059b0ffff46fa00002846f9ff57010000e60704171018111a03000000aaaaaa090500000066cfbc73080000005bd0090100000000f38f7c0bcccccccc
134776,OK,89718419,43690,170,9,5,0,0,36303572533,19500842,89718419,3435973836,35.3475179,-117.7989607,7642864,-22385,62394,-396440,285,2022,4,23,16,24,19,30,3,0,0,0,26a36f777bac414083520f2c22735dc0f09e74008fa8ffffbaf3000068f3f9ff1d010000e60704171018131e03000000aaaaaa0905000000358edc73080000002a8f29010000000093fe5805cccccccc
135100,OK,2438003115,43690,170,9,5,0,0,36304611803,20540113,2438003115,3435973836,35.3473312,-117.7982733,8029712,-20279,61851,-375771,279,2022,4,23,16,24,20,30,3,0,0,0,b270485975ac41404731e5e816735dc010867a00c9b0ffff9bf100002544faff17010000e60704171018141e03000000aaaaaa0905000000db69ec7308000000d16a390100000000abf95091cccccccc
135273,OK,2914070989,43690,170,9,5,0,0,36305113814,21042123,2914070989,3435973836,35.3471393,-117.7975945,8395697,-21650,61150,-356517,262,2022,4,23,16,24,21,30,3,0,0,0,0254820f6fac41400b3ecdc90b735dc0b11b80006eabffffdeee00005b8ffaff06010000e60704171018151e03000000aaaaaa0905000000d612f47308000000cb13410100000000cd31b1adcccccccc
135602,OK,2937829260,43690,170,9,5,0,0,36306178376,22106685,2937829260,3435973836,35.3469552,-117.7969212,8743339,-19994,60728,-338428,252,2022,4,23,16,24,22,29,3,0,0,0,ac962a0769ac41404ddfc6c100735dc0ab698500e6b1ffff38ed000004d6fafffc000000e60704171018161d03000000aaaaaa090500000048510474080000003d525101000000008cb71bafcccccccc
135913,OK,3426002952,43690,170,9,5,0,0,36307226283,23154592,3426002952,3435973836,35.3467692,-117.7962639,9073962,-20776,59252,-321353,237,2022,4,23,16,24,23,30,3,0,0,0,4aa1e2ee62ac4140115fdcfcf5725dc02a758a00d8aeffff74e70000b718fbffed000000e60704171018171e03000000aaaaaa0905000000ab4e147408000000a04f61010000000008a834cccccccccc
136576,OK,2644961020,43690,170,9,5,0,0,36309322743,25251052,2644961020,3435973836,35.3463999,-117.7949473,9684683,-19923,59654,-291248,219,2022,4,23,16,24,25,30,3,0,0,0,39ebf8d456ac4140c8e2a36ae0725dc0cbc693002db2ffff06e90000508efbffdb000000e60704171018191e03000000aaaaaa0905000000f74b347408000000ec4c810100000000fce6a69dcccccccc
136908,OK,684745004,43690,170,9,5,0,0,36310364150,26292459,684745004,3435973836,35.3462224,-117.7942941,9969696,-20014,59220,-278285,211,2022,4,23,16,24,26,29,3,0,0,0,4192fe0351ac4140f7b9ebb6d5725dc020209800d2b1ffff54e70000f3c0fbffd3000000e607041710181a1d03000000aaaaaa0905000000f62f447408000000eb309101000000002c61d028cccccccc
137249,OK,1521643754,43690,170,9,5,0,0,36311419130,27347439,1521643754,3435973836,35.3460403,-117.7936466,10241366,-20402,58760,-265762,209,2022,4,23,16,24,27,29,3,0,0,0,8ccc6d0c4bac414038e51b1bcb725dc056459c004eb0ffff88e50000def1fbffd1000000e607041710181b1d03000000aaaaaa0905000000fa48547408000000ef49a10100000000ea70b25acccccccc
137568,OK,126077398,43690,170,9,5,0,0,36312458462,28386771,126077398,3435973836,35.345856,-117.7930093,10501266,-20230,58167,-253590,202,2022,4,23,16,24,28,29,3,0,0,0,0c90680245ac4140203b14aac0725dc0923ca000fab0ffff37e300006a21fcffca000000e607041710181c1d03000000aaaaaa0905000000de24647408000000d325b10100000000d6c98307cccccccc
137889,OK,3932635165,43690,170,9,5,0,0,36313496449,29424758,3932635165,3435973836,35.3456771,-117.7923754,10749617,-19635,57973,-241719,203,2022,4,23,16,24,29,29,3,0,0,0,f1bcaf253fac4140ea494f47b6725dc0b106a4004db3ffff75e20000c94ffcffcb000000e607041710181d1d03000000aaaaaa090500000081fb73740800000076fcc001000000001d4067eacccccccc
138212,OK,2219556515,43690,170,9,5,0,0,36314537892,30466201,2219556515,3435973836,35.3455014,-117.7917354,10985146,-19704,58211,-230178,199,2022,4,23,16,24,30,29,3,0,0,0,71dcce6339ac41407885f4caab725dc0ba9ea70008b3ffff63e30000de7cfcffc7000000e607041710181e1d03000000aaaaaa0905000000a4df83740800000099e0d00100000000a3be4b84cccccccc
139041,OK,2104739775,43690,170,9,5,0,0,36317144568,33072877,2104739775,3435973836,35.3449696,-117.7898369,11625520,-19346,57524,-196424,194,2022,4,23,16,24,33,29,3,0,0,0,9e0ebff627ac414023ab11b08c725dc03064b1006eb4ffffb4e00000b800fdffc2000000e60704171018211d03000000aaaaaa0905000000f8a5ab7408000000eda6f80100000000bfc7737dcccccccc
139372,OK,1145955018,43690,170,9,5,0,0,36318186218,34114527,1145955018,3435973836,35.3447938,-117.789203,11816325,-19818,57704,-185393,193,2022,4,23,16,24,34,30,3,0,0,0,896e073422ac4140edb94c4d82725dc0854db40096b2ffff68e10000cf2bfdffc1000000e60704171018221e03000000aaaaaa0905000000ea8abb7408000000df8b080200000000cae24d44cccccccc
139685,OK,3188478745,43690,170,9,5,0,0,36319226617,35154926,3188478745,3435973836,35.3446143,-117.7885748,11996863,-19809,57120,-174812,187,2022,4,23,16,24,35,30,3,0,0,0,f11d46521cac4140c81c700278725dc0bf0eb7009fb2ffff20df00002455fdffbb000000e60704171018231e03000000aaaaaa0905000000f96acb7408000000ee6b18020000000019530cbecccccccc
140022,OK,3201410904,43690,170,9,5,0,0,36320274156,36202465,3201410904,3435973836,35.3444403,-117.7879458,12166434,-19394,57285,-164275,188,2022,4,23,16,24,36,30,3,0,0,0,53f6a79e16ac4140508138b46d725dc022a5b9003eb4ffffc5df00004d7efdffbc000000e60704171018241e03000000aaaaaa0905000000ec66db7408000000e16728020000000058a7d1becccccccc
140359,OK,2544262120,43690,170,9,5,0,0,36321319653,37247962,2544262120,3435973836,35.3442636,-117.7873175,12324997,-19885,57241,-153767,188,2022,4,23,16,24,37,27,3,0,0,0,039a63d410ac41406284f06863725dc08510bc0053b2ffff99df000059a7fdffbc000000e60704171018251b03000000aaaaaa0905000000e55aeb7408000000da5b380200000000e85ba697cccccccc
140686,OK,3588642837,43690,170,9,5,0,0,36322358069,38286378,3588642837,3435973836,35.3440866,-117.786693,12473943,-19526,56856,-143432,191,2022,4,23,16,24,38,28,3,0,0,0,f4fe9a070bac41407fbf982d59725dc05756be00bab3ffff18de0000b8cffdffbf000000e60704171018261c03000000aaaaaa09050000003533fb74080000002a344802000000001558e6d5cccccccc
141001,OK,2530785917,43690,170,9,5,0,0,36323402283,39330592,2530785917,3435973836,35.343912,-117.7860656,12612074,-19674,57224,-133180,191,2022,4,23,16,24,39,31,3,0,0,0,d959f44e05ac4140ae2017e64e725dc0ea71c00026b3ffff88df0000c4f7fdffbf000000e60704171018271f03000000aaaaaa09050000002b220b750800000020235802000000007dbad896cccccccc
141328,OK,998824147,43690,170,9,5,0,0,36324446893,40375202,998824147,3435973836,35.3437341,-117.7854432,12740495,-19694,56627,-123010,177,2022,4,23,16,24,40,31,3,0,0,0,8f029f7affab414065378eb344725dc08f67c20012b3ffff33dd00007e1ffeffb1000000e60704171018281f03000000aaaaaa0905000000ad121b7508000000a213680200000000d3d8883bcccccccc
141657,OK,1402588430,43690,170,9,5,0,0,36325485307,41413616,1402588430,3435973836,35.3435587,-117.7848186,12858091,-19667,57046,-112891,175,2022,4,23,16,24,41,31,3,0,0,0,cd6042bbf9ab4140b812cb773a725dc0eb32c4002db3ffffd6de00000547feffaf000000e60704171018291f03000000aaaaaa0905000000fbea2a7508000000f0eb7702000000000ecd9953cccccccc
141990,OK,1932199242,43690,170,9,5,0,0,36326528974,42457283,1932199242,3435973836,35.3433804,-117.7841967,12965996,-19815,56500,-102866,171,2022,4,23,16,24,42,31,3,0,0,0,300b92e3f3ab414064085b4730725dc06cd8c50099b2ffffb4dc00002e6efeffab000000e607041710182a1f03000000aaaaaa0905000000ced73a7508000000c3d88702000000004a052b73cccccccc
142317,OK,2028767048,43690,170,9,5,0,0,36327575780,43504089,2028767048,3435973836,35.3432044,-117.7835741,13063664,-19738,56903,-92811,172,2022,4,23,16,24,43,31,3,0,0,0,f1eb2c1feeab4140875ffb1326725dc0f055c700e6b2ffff47de00007595feffac000000e607041710182b1f03000000aaaaaa0905000000e4d04a7508000000d9d19702000000004887ec78cccccccc
142674,OK,850027176,43690,170,11,5,0,0,36328626823,44555132,850027176,3435973836,35.3430267,-117.7829538,13151577,-19659,56346,-82971,169,2022,4,23,16,24,44,31,3,0,0,0,d013854ce8ab4140da5141ea1b725dc059adc80035b3ffff1adc0000e5bbfeffa9000000e607041710182c1f03000000aaaaaa0b0500000087da5a75080000007cdba70200000000a862aa32cccccccc
142864,OK,1717474434,43690,170,11,5,0,0,36329131698,45060007,1717474434,3435973836,35.3428502,-117.7823314,13232132,-19718,57322,-77688,175,2022,4,23,16,24,45,30,3,0,0,0,aa36ee83e2ab41409168b8b711725dc004e8c900fab2ffffeadf000088d0feffaf000000e607041710182d1e03000000aaaaaa0b05000000b28e627508000000a78faf020000000082945e66cccccccc
143225,OK,2947727108,43690,170,12,5,0,0,36330196271,46124580,2947727108,3435973836,35.3426784,-117.7817154,13299454,-18283,54815,-57083,180,2022,4,23,16,24,46,30,3,0,0,0,9a992b42333313c0000041c300d063440000fa4200608644cdcc1e4257540000aaaaaa0c0900000015c57275080000000d0ac6bf020000000084b48f3cccccccccd685c4e2dcab4140e47107a007725dc0feeeca0095b8ffff1fd600000521ffffb4000000e607041710182e1e03000000aaaaaa0c050000002fcd72750800000024cebf020000000004bfb2afcccccccc
143565,OK,3539502089,43690,170,12,5,0,0,36331243291,47171600,3539502089,3435973836,35.3425136,-117.7811281,13347576,-18254,51829,-38604,180,2022,4,23,16,24,47,30,3,0,0,0,b537537cd7ab414024dfb600fe715dc0f8aacb00b2b8ffff75ca00003469ffffb4000000e607041710182f1e03000000aaaaaa0c050000001bc782750800000010c8cf02000000000984f8d2cccccccc
143918,OK,674029399,43690,170,12,5,0,0,36332303743,48232052,674029399,3435973836,35.3423454,-117.7805745,13380241,-18977,48902,-26200,170,2022,4,23,16,24,48,28,3,0,0,0,d0775cf9d1ab4140dc65bfeef4715dc0912acc00dfb5ffff06bf0000a899ffffaa000000e60704171018301c03000000aaaaaa0c050000007ff592750800000074f6df020000000057df2c28cccccccc
